6388632250400903168	zskx_fs	18040814230174610-SPECIALOFFER	测试预算管理	specialOffer	2018-04-08 14:22:32	2018-04-26 14:22:33	enable	disable	啛啛喳喳错错	1	2018-04-08 14:23:44	1021369	2018-05-10 09:43:39
6388641549596495872	zskx_fs	18040814595744010-FULLCUT	111111111	fullCut	2018-04-08 14:59:29	2018-04-26 14:59:29	enable	disable	晴晴晴晴晴晴晴晴	1	2018-04-08 15:00:41	1	2018-05-10 09:43:39
6388648587848323072	zskx_fs	18040815260451810-SPECIALOFFER	预算活动测试222222	specialOffer	2018-04-08 15:25:34	2018-04-08 15:32:34	enable	disable	11111111111111111111	1	2018-04-07 15:28:39	1	2018-05-10 09:43:39
6388670566773035008	zskx_fs	18040814051933510-SPECIALOFFER	谁删谁跪下唱征服	specialOffer	2018-04-08 00:00:00	2018-04-30 23:59:59	enable	disable	谁删谁跪下唱征服	1021369	2018-04-08 16:55:59	1021369	2018-05-10 09:43:39
6389310766817742848	zskx_fs	18041009425705210-FULLCUT	cyt满减活动修改10	fullCut	2018-04-10 09:38:04	2018-04-13 09:38:11	enable	enable	cyt满减活动描述修改1	1021378	2018-04-10 11:19:54	1	2019-07-08 10:09:26
6389312626039459840	zskx_fs	18041011244521410-FULLCUT	当然个人ger个	fullCut	2018-04-10 11:24:06	2018-04-27 11:24:10	enable	disable	个人股	1	2018-04-10 11:27:18	1	2018-05-10 09:43:39
6389368487357190144	zskx_fs	18041014424088710-SPECIALOFFER	特价活动	specialOffer	2018-04-10 00:00:00	2018-04-30 23:59:59	enable	disable	·特价活动	1	2018-04-10 15:09:16	1	2018-04-20 10:31:14
6389657072614510592	zskx_fs	18041110052038610-BUNDLE	zks测试站点	bundle	2018-04-11 00:00:00	2019-04-11 23:59:59	enable	disable	zks测试站点	1021369	2018-04-11 10:16:00	1021369	2018-04-20 10:31:14
6389716820567265280	zskx_fs	18041114132520010-COUPONPURCHASE	烦烦烦	couponPurchase	2018-04-19 14:12:56	2018-04-19 14:12:56	enable	disable	232323232	1	2018-04-11 14:13:25	1	2018-05-10 09:43:39
6389717053875425281	zskx_fs	18041114142084610-REGISTERCOUPON	4r3	registerCoupon	2018-04-11 14:13:59	2018-04-19 14:14:03	enable	disable	2222	1	2018-04-11 14:14:21	1	2018-04-20 10:31:14
6389724362508865537	zskx_st	18041114432336010-REBATE	满返测试	rebate	2018-04-12 14:42:50	2018-04-28 14:42:52	enable	disable	ad	1	2018-04-11 14:43:23	1	2018-04-20 10:31:14
6389731142618058752	zskx_fs	18040909160489610-SPECIALOFFER	987	specialOffer	2018-04-09 09:15:40	2018-04-28 09:15:42	enable	disable		1	2018-04-11 15:10:20	1	2018-04-20 10:31:14
6389734057424457729	zskx_fs	18041115215480810-COUPONDRAW	cyt领券test	couponDraw	2018-04-10 15:20:16	2018-04-17 15:20:18	enable	disable	测试	1021378	2018-04-11 15:21:55	1	2018-05-10 09:43:39
6389737448972226560	zskx_fs	18041115352341510-HANDOUTCOUPON	测试发券	handOutCoupon	2018-04-11 15:35:23	2018-04-11 15:35:23	enable	disable	\N	1	2018-04-11 15:35:23	1	2018-05-10 09:43:39
